V1: Wave,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,V257: Region where the interview was conducted,V255CS: Size of town (country specific),V235: Sex,V237R: Age recoded (6 intervals),V222: Language at home,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V252: Social class (subjective),Counts
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,55-64,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,55-64,Japanese,Single/Never married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,55-64,Japanese,Widowed,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Married,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Married,Lower,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Married,Lower,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,No answer,Lower,No answer,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Single/Never married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Widowed,No answer,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,15-24,Japanese,Single/Never married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,15-24,Japanese,Single/Never married,Higher,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,15-24,Japanese,Single/Never married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,25-34,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,25-34,Japanese,Single/Never married,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,25-34,Japanese,Single/Never married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,35-44,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,35-44,Japanese,Single/Never married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,45-54,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,45-54,Japanese,Married,Middle,Working class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,55-64,Japanese,Married,Higher,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,55-64,Japanese,Married,Lower,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,55-64,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,"65 and more years""",Japanese,Married,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,"65 and more years""",Japanese,Married,Middle,Lower middle class,3
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 150,000 more residents cities",Male,"65 and more years""",Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,15-24,Japanese,Single/Never married,Higher,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,15-24,Japanese,Single/Never married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,25-34,Japanese,Single/Never married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,25-34,Japanese,Single/Never married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,35-44,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,35-44,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,45-54,Japanese,Married,Middle,Lower middle class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,45-54,Japanese,Married,Middle,Working class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,55-64,Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,55-64,Japanese,Married,Lower,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,55-64,Japanese,Married,Middle,Lower middle class,3
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,55-64,Japanese,Widowed,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,"65 and more years""",Japanese,Married,Middle,Lower middle class,3
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,"65 and more years""",Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Female,"65 and more years""",Japanese,Married,No answer,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,15-24,Japanese,Single/Never married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,25-34,Japanese,Married,Higher,Upper middle class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,25-34,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,25-34,Japanese,Single/Never married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,35-44,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,35-44,Japanese,Married,Middle,No answer,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,35-44,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,35-44,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,45-54,Japanese,Married,Higher,Lower middle class,3
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,45-54,Japanese,Married,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,45-54,Japanese,Married,Lower,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,45-54,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,45-54,Japanese,Married,Middle,Lower middle class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,55-64,Japanese,Divorced,Lower,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,55-64,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,55-64,Japanese,Married,Middle,Lower middle class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,55-64,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,55-64,Japanese,Married,No answer,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,55-64,Japanese,Married,No answer,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,"65 and more years""",Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,"65 and more years""",Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: 50,000 to 150,000  residents cities",Male,"65 and more years""",Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,15-24,Japanese,Single/Never married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,25-34,Japanese,Divorced,Lower,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,25-34,Japanese,Married,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,25-34,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,25-34,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,25-34,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,25-34,Japanese,Single/Never married,Middle,Working class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,35-44,Japanese,Married,Lower,No answer,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,35-44,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,35-44,Japanese,Married,Middle,Working class,3
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,45-54,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,45-54,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,55-64,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,55-64,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,55-64,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,"65 and more years""",Japanese,Living together as married,Middle,Upper class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,"65 and more years""",Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,"65 and more years""",Japanese,Married,Middle,No answer,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Female,"65 and more years""",Japanese,Widowed,Lower,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,15-24,Japanese,Single/Never married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,25-34,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,25-34,Japanese,Single/Never married,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,35-44,Japanese,Married,Higher,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,35-44,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,45-54,Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,45-54,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,45-54,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,55-64,Japanese,Living together as married,Lower,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,55-64,Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,55-64,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,55-64,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,55-64,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,"65 and more years""",Japanese,Divorced,Lower,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,"65 and more years""",Japanese,Married,Lower,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,"65 and more years""",Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa",JP: Rural districts,Male,"65 and more years""",Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,25-34,Japanese,Living together as married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,25-34,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,25-34,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,45-54,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,55-64,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,55-64,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,"65 and more years""",Japanese,Married,Lower,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Female,"65 and more years""",Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,35-44,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,45-54,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,45-54,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,55-64,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,"65 and more years""",Japanese,Married,Higher,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,"65 and more years""",Japanese,Married,Lower,No answer,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,"65 and more years""",Japanese,Married,Middle,Lower middle class,2
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,"65 and more years""",Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,"65 and more years""",Japanese,Single/Never married,No answer,Working class,1
2005-2009,-4,"JP: Chugoku,Shikoku,Kyushu,Okinawa","JP: Up to 50,000 residents cities",Male,"65 and more years""",Japanese,Widowed,Higher,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,15-24,Japanese,Single/Never married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,25-34,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,25-34,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,25-34,Japanese,Widowed,Middle,Upper class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,35-44,Japanese,Married,Middle,Lower middle class,4
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,35-44,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,35-44,Japanese,Married,Middle,Working class,3
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,45-54,Japanese,Married,Middle,Working class,2
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,45-54,Japanese,No answer,Higher,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,55-64,Japanese,Married,Lower,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,55-64,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,55-64,Japanese,Married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,"65 and more years""",Japanese,Married,Higher,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,"65 and more years""",Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,"65 and more years""",Japanese,Married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,15-24,Japanese,Single/Never married,Higher,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,15-24,Japanese,Single/Never married,Higher,Upper middle class,2
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,25-34,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,25-34,Japanese,Married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,25-34,Japanese,Single/Never married,Higher,Working class,2
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,25-34,Japanese,Single/Never married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,35-44,Japanese,Married,Higher,Lower middle class,3
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,35-44,Japanese,Married,Middle,Lower middle class,2
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,35-44,Japanese,Married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,45-54,Japanese,Married,Middle,No answer,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,45-54,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,45-54,Japanese,Single/Never married,Higher,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,55-64,Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,"65 and more years""",Japanese,Married,Lower,Lower class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,15-24,Japanese,Single/Never married,Higher,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,15-24,Japanese,Single/Never married,Higher,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,25-34,Japanese,Divorced,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,25-34,Japanese,Married,Middle,Lower class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,25-34,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,25-34,Japanese,Single/Never married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,35-44,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,35-44,Japanese,Married,Middle,No answer,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,35-44,Japanese,Married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,45-54,Japanese,Divorced,Middle,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,45-54,Japanese,Married,Lower,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,45-54,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,45-54,Japanese,Married,Middle,Upper class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,45-54,Japanese,Married,Middle,Working class,3
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,55-64,Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,55-64,Japanese,Married,Middle,Lower middle class,3
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,55-64,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,55-64,Japanese,Single/Never married,Middle,Lower class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Married,Lower,Working class,2
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Married,Middle,Lower middle class,2
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Married,Middle,No answer,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Female,"65 and more years""",Japanese,Single/Never married,Middle,Lower class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Male,25-34,Japanese,Married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Male,25-34,Japanese,Single/Never married,Higher,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Male,35-44,Japanese,Married,Higher,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Male,35-44,Japanese,Married,Middle,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Male,45-54,Japanese,Divorced,Higher,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Male,45-54,Japanese,Divorced,Lower,Working class,1
2005-2009,-4,JP: Hokkaido/Tohoku,"JP: 150,000 more residents cities",Male,45-54,Japanese,Married,Higher,Lower middle class,2
