V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region (ISO),V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2011,-4,US-CO Colorado,Male,44,English,Married,Higher,Upper middle class,1
2011,-4,US-CO Colorado,Male,50,English,Married,Middle,Lower middle class,1
2011,-4,US-CO Colorado,Male,53,English,Married,Middle,Working class,1
2011,-4,US-CO Colorado,Male,57,English,Married,Higher,Working class,1
2011,-4,US-CO Colorado,Male,61,English,Married,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Male,63,No answer,Married,Middle,Working class,1
2011,-4,US-CO Colorado,Male,64,English,Married,Higher,Upper middle class,1
2011,-4,US-CO Colorado,Male,68,English,Married,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Male,68,English,Married,Middle,Lower middle class,2
2011,-4,US-CO Colorado,Male,69,English,Married,Higher,Working class,1
2011,-4,US-CO Colorado,Male,79,English,Married,Higher,Upper middle class,1
2011,-4,US-CO Colorado,Male,79,English,Widowed,Higher,Lower middle class,1
2011,-4,US-CO Colorado,Male,81,English,Divorced,Middle,Working class,1
2011,-4,US-CO Colorado,Male,81,English,Married,Higher,Working class,1
2011,-4,US-CT Connecticut,Female,18,English,Single,Middle,Upper middle class,1
2011,-4,US-CT Connecticut,Female,20,English,Single,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Female,27,English,Living together as married,Higher,Working class,1
2011,-4,US-CT Connecticut,Female,34,English,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Female,38,English,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Female,40,English,Married,Higher,Upper class,1
2011,-4,US-CT Connecticut,Female,47,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-CT Connecticut,Female,54,Other,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Female,56,English,Divorced,Higher,Working class,1
2011,-4,US-CT Connecticut,Female,57,English,Divorced,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Female,57,English,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Female,59,English,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Female,60,English,Living together as married,Middle,Upper middle class,1
2011,-4,US-CT Connecticut,Female,66,English,Married,Middle,Upper middle class,1
2011,-4,US-CT Connecticut,Female,67,English,Married,Middle,Upper middle class,1
2011,-4,US-CT Connecticut,Female,76,English,Married,Middle,Upper middle class,1
2011,-4,US-CT Connecticut,Male,21,English,Single,Higher,Upper middle class,1
2011,-4,US-CT Connecticut,Male,42,English,Single,Middle,Lower middle class,1
2011,-4,US-CT Connecticut,Male,44,English,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Male,48,English,Married,Middle,Lower middle class,1
2011,-4,US-CT Connecticut,Male,50,Spanish; Castilian,Divorced,Middle,Upper middle class,1
2011,-4,US-CT Connecticut,Male,52,English,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Male,54,English,Living together as married,Middle,Working class,1
2011,-4,US-CT Connecticut,Male,54,English,Married,Middle,Upper middle class,1
2011,-4,US-CT Connecticut,Male,58,English,Married,Higher,Lower middle class,1
2011,-4,US-CT Connecticut,Male,58,English,Widowed,Higher,Upper middle class,1
2011,-4,US-CT Connecticut,Male,63,English,Divorced,Higher,Working class,1
2011,-4,US-CT Connecticut,Male,70,English,Married,Higher,Upper middle class,1
2011,-4,US-CT Connecticut,Male,74,English,Married,Higher,Lower middle class,1
2011,-4,US-DC District of Columbia,Female,31,English,Married,Higher,Upper middle class,1
2011,-4,US-DC District of Columbia,Female,54,English,Married,Middle,Lower class,1
2011,-4,US-DC District of Columbia,Female,64,English,Married,Middle,Upper middle class,1
2011,-4,US-DC District of Columbia,Male,23,English,Single,Middle,Lower class,1
2011,-4,US-DC District of Columbia,Male,41,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-DE Delaware,Female,30,English,Married,Higher,Upper middle class,1
2011,-4,US-DE Delaware,Female,37,English,Single,Higher,Lower middle class,1
2011,-4,US-DE Delaware,Female,39,English,Single,Higher,Lower middle class,1
2011,-4,US-DE Delaware,Female,48,English,Married,Higher,Upper middle class,1
2011,-4,US-DE Delaware,Female,49,English,Divorced,Middle,Lower middle class,1
2011,-4,US-DE Delaware,Female,50,English,Married,Higher,Upper middle class,2
2011,-4,US-DE Delaware,Male,45,No answer,Married,Higher,No answer,1
2011,-4,US-DE Delaware,Male,73,English,Married,Higher,Working class,1
2011,-4,US-FL Florida,Female,18,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,21,English,Single,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,21,English,Single,Middle,Upper middle class,1
2011,-4,US-FL Florida,Female,22,English,Living together as married,Higher,Working class,1
2011,-4,US-FL Florida,Female,23,English,Single,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,23,English,Single,Higher,Working class,1
2011,-4,US-FL Florida,Female,24,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,24,English,Single,Middle,Upper class,1
2011,-4,US-FL Florida,Female,26,English,Living together as married,Higher,Working class,1
2011,-4,US-FL Florida,Female,26,English,Married,Higher,Working class,1
2011,-4,US-FL Florida,Female,26,English,Single,Higher,Working class,1
2011,-4,US-FL Florida,Female,27,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,27,English,Living together as married,Middle,Working class,1
2011,-4,US-FL Florida,Female,28,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,29,Spanish; Castilian,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Female,30,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,30,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,33,English,Single,Higher,Lower class,1
2011,-4,US-FL Florida,Female,36,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,36,English,Single,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,37,English,Separated,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,38,English,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Female,39,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,40,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,40,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,41,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,42,English,Living together as married,Higher,Working class,1
2011,-4,US-FL Florida,Female,43,English,Married,Middle,Working class,1
2011,-4,US-FL Florida,Female,43,English,Single,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,44,English,Married,Middle,Working class,1
2011,-4,US-FL Florida,Female,45,English,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Female,47,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,47,English,Married,Middle,Lower middle class,2
2011,-4,US-FL Florida,Female,48,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,50,English,Married,Middle,Working class,1
2011,-4,US-FL Florida,Female,51,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,52,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,52,English,Married,Higher,Working class,1
2011,-4,US-FL Florida,Female,55,English,Divorced,Middle,Working class,1
2011,-4,US-FL Florida,Female,55,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,55,English,Separated,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,56,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,56,English,Married,Lower,Lower middle class,1
2011,-4,US-FL Florida,Female,58,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,58,English,Married,Higher,Working class,1
2011,-4,US-FL Florida,Female,59,English,Divorced,Middle,Working class,1
2011,-4,US-FL Florida,Female,60,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,61,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,61,English,Married,Higher,Upper class,1
2011,-4,US-FL Florida,Female,62,English,Widowed,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,63,English,Married,Middle,Upper class,1
2011,-4,US-FL Florida,Female,64,English,Divorced,Higher,Lower class,1
2011,-4,US-FL Florida,Female,64,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,64,Spanish; Castilian,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,66,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,67,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,67,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,68,English,Divorced,Higher,Working class,1
2011,-4,US-FL Florida,Female,68,English,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Female,68,English,Widowed,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,68,English,Widowed,Middle,Working class,1
2011,-4,US-FL Florida,Female,69,English,Widowed,Higher,Lower middle class,1
2011,-4,US-FL Florida,Female,70,English,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Female,70,English,Married,Middle,Working class,2
2011,-4,US-FL Florida,Female,72,English,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Female,76,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,77,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,77,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,80,English,Married,Higher,Working class,1
2011,-4,US-FL Florida,Female,83,English,Widowed,Middle,Lower middle class,1
2011,-4,US-FL Florida,Female,85,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Female,93,English,Widowed,Middle,Upper middle class,1
2011,-4,US-FL Florida,Male,20,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,21,English,Single,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,22,English,Single,Higher,Working class,1
2011,-4,US-FL Florida,Male,22,English,Single,Middle,Upper middle class,1
2011,-4,US-FL Florida,Male,22,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-FL Florida,Male,22,Spanish; Castilian,Single,Middle,Lower class,1
2011,-4,US-FL Florida,Male,23,English,Married,Middle,Working class,1
2011,-4,US-FL Florida,Male,23,English,Single,Higher,Working class,1
2011,-4,US-FL Florida,Male,23,Spanish; Castilian,Single,Higher,Working class,1
2011,-4,US-FL Florida,Male,24,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,26,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,28,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,28,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,28,English,Single,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,29,English,Married,Higher,Working class,1
2011,-4,US-FL Florida,Male,30,No answer,Living together as married,Middle,No answer,1
2011,-4,US-FL Florida,Male,31,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,33,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,33,English,Married,Middle,Working class,1
2011,-4,US-FL Florida,Male,34,English,Living together as married,Middle,Working class,1
2011,-4,US-FL Florida,Male,34,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,36,English,Separated,Middle,Lower class,1
2011,-4,US-FL Florida,Male,37,English,Single,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,38,English,Married,Middle,Working class,1
2011,-4,US-FL Florida,Male,39,English,Single,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,47,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,48,English,Divorced,Middle,Lower class,1
2011,-4,US-FL Florida,Male,49,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,51,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,51,English,Single,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,52,English,Married,Middle,Working class,2
2011,-4,US-FL Florida,Male,53,English,Single,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,55,English,Widowed,Middle,Upper middle class,1
2011,-4,US-FL Florida,Male,56,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,57,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,59,English,Single,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,60,Spanish; Castilian,Single,Lower,Working class,1
2011,-4,US-FL Florida,Male,61,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,63,English,Living together as married,Middle,Working class,1
2011,-4,US-FL Florida,Male,63,English,Married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,63,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,64,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-FL Florida,Male,65,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,66,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,66,English,Widowed,Higher,Working class,1
2011,-4,US-FL Florida,Male,68,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,68,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,69,English,Married,Higher,Upper class,1
2011,-4,US-FL Florida,Male,69,English,Married,Higher,Upper middle class,2
2011,-4,US-FL Florida,Male,70,English,Married,Middle,Lower class,1
2011,-4,US-FL Florida,Male,71,English,Married,Higher,Working class,1
2011,-4,US-FL Florida,Male,71,Spanish; Castilian,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,72,English,Married,Middle,Lower middle class,3
2011,-4,US-FL Florida,Male,72,English,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Male,74,English,Divorced,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,74,English,Married,Middle,Lower middle class,1
2011,-4,US-FL Florida,Male,74,English,Separated,Middle,Working class,1
2011,-4,US-FL Florida,Male,76,English,Married,Higher,Upper middle class,1
2011,-4,US-FL Florida,Male,77,English,Married,Middle,Upper middle class,1
2011,-4,US-FL Florida,Male,78,English,Married,Middle,Working class,1
2011,-4,US-FL Florida,Male,87,English,Widowed,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,19,English,Single,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,20,English,Single,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,20,English,Single,Middle,Working class,1
2011,-4,US-GA Georgia,Female,20,Spanish; Castilian,Single,Higher,Working class,1
2011,-4,US-GA Georgia,Female,24,English,Single,Higher,Working class,1
2011,-4,US-GA Georgia,Female,24,English,Single,Middle,Lower class,1
2011,-4,US-GA Georgia,Female,26,English,Married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Female,27,English,Living together as married,Middle,Lower middle class,1
2011,-4,US-GA Georgia,Female,29,English,Single,Higher,No answer,1
2011,-4,US-GA Georgia,Female,31,English,Single,Middle,Lower class,2
2011,-4,US-GA Georgia,Female,32,English,Married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Female,33,English,Married,Higher,Working class,1
2011,-4,US-GA Georgia,Female,34,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Female,39,English,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,39,English,Married,Higher,Working class,1
2011,-4,US-GA Georgia,Female,41,English,Divorced,Higher,Working class,1
2011,-4,US-GA Georgia,Female,41,English,Married,Higher,Working class,1
2011,-4,US-GA Georgia,Female,44,English,Married,Middle,Lower middle class,1
2011,-4,US-GA Georgia,Female,46,Spanish; Castilian,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,47,English,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,49,English,Single,Higher,Working class,1
2011,-4,US-GA Georgia,Female,51,English,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,55,English,Divorced,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,55,English,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,59,English,Divorced,Middle,Working class,1
2011,-4,US-GA Georgia,Female,61,English,Married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Female,62,English,Divorced,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,62,English,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,63,English,Widowed,Middle,Working class,1
2011,-4,US-GA Georgia,Female,64,English,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,66,English,Married,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Female,66,English,Widowed,Middle,Lower middle class,1
2011,-4,US-GA Georgia,Female,73,English,Married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Female,74,English,Widowed,Middle,Upper middle class,1
2011,-4,US-GA Georgia,Female,76,English,Widowed,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Female,77,English,Married,Middle,Upper middle class,1
2011,-4,US-GA Georgia,Male,18,English,Single,Middle,Lower middle class,1
2011,-4,US-GA Georgia,Male,19,English,Single,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Male,19,English,Single,Middle,Working class,1
2011,-4,US-GA Georgia,Male,22,English,Single,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Male,24,English,Single,Higher,Working class,1
2011,-4,US-GA Georgia,Male,25,English,Single,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Male,25,English,Single,Higher,Upper middle class,1
2011,-4,US-GA Georgia,Male,28,English,Single,Middle,Working class,1
2011,-4,US-GA Georgia,Male,29,English,Married,Higher,Working class,1
2011,-4,US-GA Georgia,Male,34,English,Widowed,Middle,Working class,1
2011,-4,US-GA Georgia,Male,35,English,Living together as married,Middle,Working class,1
2011,-4,US-GA Georgia,Male,35,English,Married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Male,37,English,Married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Male,41,English,Married,Middle,Upper middle class,1
2011,-4,US-GA Georgia,Male,42,English,Married,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Male,42,English,Married,Middle,Lower class,1
2011,-4,US-GA Georgia,Male,42,English,Married,Middle,Working class,1
2011,-4,US-GA Georgia,Male,49,English,Single,Middle,Lower class,1
2011,-4,US-GA Georgia,Male,51,English,Married,Middle,Lower middle class,1
2011,-4,US-GA Georgia,Male,52,English,Married,Middle,Working class,1
2011,-4,US-GA Georgia,Male,53,English,Married,Middle,Working class,1
2011,-4,US-GA Georgia,Male,57,English,Single,Higher,Lower middle class,1
2011,-4,US-GA Georgia,Male,63,English,Divorced,Middle,Working class,2
2011,-4,US-GA Georgia,Male,64,English,Married,Middle,Working class,1
2011,-4,US-GA Georgia,Male,73,English,Married,Middle,Working class,1
2011,-4,US-GA Georgia,Male,80,English,Widowed,Middle,Working class,1
2011,-4,US-GA Georgia,Male,82,English,Divorced,Higher,Upper middle class,1
2011,-4,US-HI Hawaii,Female,56,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-HI Hawaii,Male,72,English,Married,Middle,Upper middle class,1
2011,-4,US-IA Iowa,Female,20,English,Single,Middle,Lower middle class,1
2011,-4,US-IA Iowa,Female,21,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-IA Iowa,Female,22,English,Living together as married,Higher,Working class,1
2011,-4,US-IA Iowa,Female,24,English,Married,Higher,Upper middle class,1
2011,-4,US-IA Iowa,Female,47,English,Married,Higher,Upper class,1
2011,-4,US-IA Iowa,Female,49,English,Married,Middle,Working class,1
2011,-4,US-IA Iowa,Female,50,English,Married,Higher,Lower middle class,1
2011,-4,US-IA Iowa,Female,51,English,Married,Higher,Lower middle class,1
2011,-4,US-IA Iowa,Female,54,English,Married,Higher,Upper middle class,1
2011,-4,US-IA Iowa,Female,56,English,Divorced,Middle,Working class,1
2011,-4,US-IA Iowa,Female,57,English,Married,Middle,Lower middle class,1
2011,-4,US-IA Iowa,Female,58,English,Married,Higher,Working class,1
2011,-4,US-IA Iowa,Female,63,English,Married,Higher,No answer,1
2011,-4,US-IA Iowa,Female,63,English,Married,Middle,Upper middle class,1
2011,-4,US-IA Iowa,Female,66,English,Divorced,Higher,Lower middle class,1
2011,-4,US-IA Iowa,Female,71,English,Widowed,Higher,Lower middle class,1
2011,-4,US-IA Iowa,Male,19,English,Single,Middle,Working class,1
2011,-4,US-IA Iowa,Male,22,Spanish; Castilian,Single,Middle,Upper middle class,1
2011,-4,US-IA Iowa,Male,31,English,Married,Middle,Working class,1
2011,-4,US-IA Iowa,Male,35,English,Married,Higher,Lower middle class,1
2011,-4,US-IA Iowa,Male,52,English,Living together as married,Middle,Upper middle class,1
2011,-4,US-IA Iowa,Male,52,English,Single,Higher,Upper middle class,1
2011,-4,US-IA Iowa,Male,54,English,Divorced,Middle,Lower middle class,1
2011,-4,US-IA Iowa,Male,54,English,Married,Higher,Upper middle class,1
2011,-4,US-IA Iowa,Male,65,English,Married,Higher,Working class,1
2011,-4,US-IA Iowa,Male,79,English,Married,Higher,Upper middle class,1
2011,-4,US-IA Iowa,Male,83,English,Widowed,Middle,Lower middle class,1
2011,-4,US-ID Idaho,Female,49,English,Separated,Middle,Lower class,1
2011,-4,US-ID Idaho,Female,50,English,Divorced,Higher,Lower middle class,1
2011,-4,US-ID Idaho,Female,56,English,Single,Higher,Lower class,1
2011,-4,US-ID Idaho,Female,60,Spanish; Castilian,Single,Middle,Working class,1
2011,-4,US-ID Idaho,Male,19,English,Living together as married,Higher,Lower class,1
2011,-4,US-ID Idaho,Male,19,English,Single,Middle,No answer,1
2011,-4,US-ID Idaho,Male,28,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-ID Idaho,Male,54,No answer,Divorced,Middle,No answer,1
2011,-4,US-ID Idaho,Male,60,English,Divorced,Middle,Working class,1
2011,-4,US-ID Idaho,Male,65,No answer,Separated,Middle,No answer,1
2011,-4,US-ID Idaho,Male,69,English,Married,Middle,Lower middle class,1
2011,-4,US-IL Illinois,Female,19,No answer,Single,Higher,No answer,1
2011,-4,US-IL Illinois,Female,20,English,Single,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,20,English,Single,Middle,Upper middle class,1
2011,-4,US-IL Illinois,Female,21,English,Living together as married,Higher,Lower class,1
2011,-4,US-IL Illinois,Female,22,English,Single,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,28,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,36,English,Divorced,Higher,Working class,1
2011,-4,US-IL Illinois,Female,37,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,37,English,Single,Higher,Working class,1
2011,-4,US-IL Illinois,Female,38,Spanish; Castilian,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,40,English,Married,Higher,Working class,1
2011,-4,US-IL Illinois,Female,42,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,43,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,44,Spanish; Castilian,Married,Lower,Working class,1
2011,-4,US-IL Illinois,Female,45,English,Married,Higher,Upper class,1
2011,-4,US-IL Illinois,Female,46,English,Living together as married,Middle,Upper middle class,1
2011,-4,US-IL Illinois,Female,46,English,Married,Middle,Lower class,1
2011,-4,US-IL Illinois,Female,48,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,49,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,50,English,Divorced,Middle,Lower class,1
2011,-4,US-IL Illinois,Female,51,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,51,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,52,English,Married,Higher,Lower middle class,2
2011,-4,US-IL Illinois,Female,54,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,54,English,Married,Middle,Lower middle class,1
2011,-4,US-IL Illinois,Female,57,English,Divorced,Middle,Lower class,1
2011,-4,US-IL Illinois,Female,58,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,58,Other,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,60,English,Divorced,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,61,English,Divorced,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,61,English,Divorced,Middle,Working class,1
2011,-4,US-IL Illinois,Female,61,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,61,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,61,English,Married,Middle,Upper middle class,1
2011,-4,US-IL Illinois,Female,63,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Female,64,English,Married,Middle,Lower class,1
2011,-4,US-IL Illinois,Female,65,English,Divorced,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,66,English,Widowed,Middle,Lower middle class,1
2011,-4,US-IL Illinois,Female,67,English,Divorced,Middle,Lower class,1
2011,-4,US-IL Illinois,Female,67,English,Married,Middle,Lower middle class,1
2011,-4,US-IL Illinois,Female,70,English,Divorced,Higher,Lower class,1
2011,-4,US-IL Illinois,Female,71,English,Divorced,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,71,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-IL Illinois,Female,75,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Female,80,English,Single,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,19,English,Single,Middle,Working class,1
2011,-4,US-IL Illinois,Male,20,No answer,Single,Higher,No answer,1
2011,-4,US-IL Illinois,Male,21,English,Living together as married,Middle,Upper class,1
2011,-4,US-IL Illinois,Male,23,English,Single,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,25,English,Single,Higher,Working class,1
2011,-4,US-IL Illinois,Male,26,English,Single,Middle,Lower middle class,1
2011,-4,US-IL Illinois,Male,28,English,Single,Middle,Upper middle class,1
2011,-4,US-IL Illinois,Male,32,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Male,36,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,42,English,Married,Higher,Lower middle class,1
2011,-4,US-IL Illinois,Male,42,English,Married,Higher,Working class,1
2011,-4,US-IL Illinois,Male,43,Spanish; Castilian,Married,Middle,Upper middle class,1
2011,-4,US-IL Illinois,Male,44,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,45,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,46,English,Married,Middle,Working class,1
2011,-4,US-IL Illinois,Male,47,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,47,English,Married,Middle,Working class,1
2011,-4,US-IL Illinois,Male,48,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,50,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,51,English,Single,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,52,English,Married,Middle,Working class,2
2011,-4,US-IL Illinois,Male,53,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,54,English,Divorced,Higher,Lower class,1
2011,-4,US-IL Illinois,Male,54,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,57,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,58,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,59,English,Married,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,59,English,Married,Middle,Working class,1
2011,-4,US-IL Illinois,Male,59,English,Single,Higher,Upper middle class,1
2011,-4,US-IL Illinois,Male,60,English,Divorced,Higher,Working class,1
